City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Moradabad,Uttar Pradesh,63.1,39.7,39.6,33.9,38.7,29.9,21.3,18.7,23.0,60.2,70.8,52.4
Kohima,Nagaland,48.8,63.9,61.1,66.7,39.4,32.8,17.6,17.5,23.8,42.1,34.5,35.4
Nagaur,Rajasthan,81.6,46.2,27.3,28.4,26.2,30.9,17.7,11.9,17.5,37.3,73.6,82.0
Sasaram,Bihar,97.4,45.5,32.3,21.9,16.3,33.7,21.4,6.5,8.1,16.8,80.2,94.6
Belapur,Maharashtra,52.8,54.0,45.3,46.7,34.3,22.6,17.7,22.1,27.9,33.8,65.6,57.9
Jaisalmer,Rajasthan,95.5,41.8,26.9,26.5,38.8,27.1,22.0,11.6,18.9,32.8,53.5,80.2
Lonavla,Maharashtra,65.2,42.7,30.0,29.8,27.7,13.6,14.7,12.7,18.6,43.9,93.2,78.4
Latur,Maharashtra,63.2,54.8,56.1,47.1,35.6,16.8,13.1,12.9,18.4,29.1,75.6,53.2
Thane,Maharashtra,69.5,57.9,45.0,36.5,28.7,17.6,13.9,13.1,18.7,43.2,69.5,59.5
Siliguri,West Bengal,71.9,66.7,57.9,45.9,32.2,22.4,19.5,19.8,22.0,29.1,33.6,55.6
Gandhinagar,Gujarat,50.8,41.8,54.0,34.3,28.6,29.2,27.7,20.7,25.1,41.8,60.4,56.0
Tensa,Odisha,56.4,43.2,44.6,45.1,31.3,32.9,16.7,19.1,24.7,40.0,54.4,60.0
Katni,Madhya Pradesh,61.7,51.5,38.7,36.0,32.0,26.1,19.1,17.2,18.4,32.0,74.0,65.8
Imphal,Manipur,45.8,41.4,41.0,34.7,21.5,16.9,4.0,6.7,17.5,174.9,15.2,29.2
Ahmadnagar,Maharashtra,47.8,51.2,47.4,42.4,37.8,30.4,23.3,17.8,21.0,34.7,55.3,45.5
Solapur,Maharashtra,58.0,61.3,61.3,48.4,37.1,20.6,16.1,17.5,20.6,28.1,57.7,38.3
Amaravati,Andhra Pradesh,67.0,49.0,53.6,40.2,33.0,19.3,12.5,12.9,18.3,41.1,61.6,52.8
Nashik,Maharashtra,55.8,40.8,35.8,35.1,32.4,21.0,17.4,20.0,19.1,37.7,80.8,63.4
Chittoor,Andhra Pradesh,35.2,33.8,38.3,43.5,41.8,28.8,35.3,25.7,31.2,37.1,48.1,47.0
Palwal,Haryana,37.0,44.4,40.3,41.0,44.0,36.2,21.4,21.6,19.2,44.8,64.0,32.4
Navi Mumbai,Maharashtra,64.4,62.4,48.7,41.3,34.5,16.0,13.7,14.1,16.1,31.0,59.0,49.6
Ratlam,Madhya Pradesh,50.1,40.6,35.0,38.3,31.9,24.8,19.0,15.3,21.3,50.0,61.9,57.0
Kishanganj,Bihar,42.3,48.7,52.6,53.3,30.8,17.9,12.3,12.9,16.7,20.3,54.8,58.9
Akola,Maharashtra,58.8,60.3,44.1,33.2,33.1,21.2,16.8,16.3,16.5,35.7,60.0,45.5
Jodhpur,Rajasthan,68.7,39.9,28.1,26.5,23.3,20.8,16.8,11.3,16.8,38.6,72.8,76.0
Chhal,Chhattisgarh,47.1,39.2,46.8,48.5,41.9,30.4,12.5,21.5,27.1,46.6,40.4,32.9
Haldia,West Bengal,62.2,41.2,24.9,25.7,10.6,15.8,14.2,17.6,18.8,34.6,76.8,93.5
Firozabad,Uttar Pradesh,61.5,37.4,31.1,32.5,33.8,29.0,13.6,19.8,30.3,47.8,56.5,42.5
Jhansi,Uttar Pradesh,52.9,37.5,30.9,30.1,36.3,34.9,23.3,25.6,21.3,35.7,55.3,48.2
Rajsamand,Rajasthan,71.5,47.4,34.1,31.9,21.0,14.2,26.7,15.4,23.8,27.8,45.3,71.8
Bathinda,Punjab,43.5,34.6,23.8,28.6,32.9,48.2,41.5,19.3,26.2,42.8,50.9,36.1
Indore,Madhya Pradesh,59.5,47.3,40.9,38.4,34.0,22.5,15.4,14.1,19.7,38.4,59.2,36.1
Amravati,Maharashtra,60.0,43.1,45.5,37.7,33.7,22.0,14.5,14.4,18.5,34.8,56.7,41.4
Pune,Maharashtra,53.7,51.3,42.6,36.1,29.7,18.4,13.4,15.2,15.9,31.7,63.2,52.7
Coimbatore,Tamil Nadu,72.7,53.3,49.4,37.1,27.8,16.4,14.5,18.0,19.0,24.1,44.7,46.8
Shillong,Meghalaya,45.0,52.5,49.9,50.2,30.9,21.7,7.3,8.4,10.3,40.3,38.8,21.7
Bidar,Karnataka,67.2,42.2,40.0,43.8,31.9,14.2,6.5,11.9,20.8,24.5,54.3,42.9
Mumbai,Maharashtra,51.5,48.9,34.9,31.2,23.3,13.8,12.3,11.6,13.6,34.1,65.3,64.2
Pratapgarh,Uttar Pradesh,61.7,39.1,27.3,28.2,21.2,13.5,16.6,15.3,23.5,37.5,56.9,62.7
Vatva,Gujarat,51.5,52.8,53.5,33.6,23.6,20.5,23.5,29.9,24.0,21.1,33.2,32.7
Sangli,Maharashtra,69.1,73.4,53.0,38.6,23.3,11.8,8.5,8.1,8.5,22.1,40.1,31.3
Sirohi,Rajasthan,51.6,35.2,33.8,29.8,22.7,17.8,15.7,14.4,19.0,28.4,39.1,72.5
Dharwad,Karnataka,40.1,39.4,34.1,38.3,29.0,22.0,28.5,22.9,23.9,26.6,50.0,32.4
Vijayawada,Andhra Pradesh,39.5,38.7,36.8,29.3,31.3,29.7,26.6,25.7,33.4,30.6,33.1,36.8
Yadgir,Karnataka,50.2,36.8,38.8,35.8,23.6,9.1,9.6,19.1,21.0,27.0,64.0,45.3
